Name,Address,Status,Classes_This_Week,4Rides,8Rides,Unlimited Rides,5Pack,10Pack,24Pack
CycleBar Parkland,"7291 N State Road 7, Parkland, FL, 33067",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Springfield East,"3330 S Glenstone Ave, Springfield, MO, 65804",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Fort Lauderdale,"525 N Federal Highway, Suite 100, Fort Lauderdale, FL, 33301",Open,32,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Davie,"2270 S University Drive, Davie, FL, 33324",Open,22,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Hattiesburg,"4600 Hardy Street, Unit 20, Hattiesburg, MS, 39402",Open,17,$59.00,$89.00,$99.00,$79.00,$149.00,$29.00
CycleBar South Fort Myers,"13499 S. Cleveland Ave., #233, Fort Myers, FL, 33907",Open,29,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Aventura,"2956 Aventura Boulevard, Suite 1, Aventura, FL, 33180",Open,27,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Pembroke Pines,"15657 Pines Boulevard, Pembroke Pines, FL, 33027",Open,22,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Rock City,"17711 Chenal Parkway, Suite I-111, Little Rock, AR, 72223",Open,11,$59.00,$89.00,$99.00,$269.00,$79.00,$29.00
CycleBar Lee's Summit,"910-W NW Blue Pkwy, Lee's Summit, MO, 64086",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Naples,"9118 Strada Place, Suite 8105, Naples, FL, 34108",Open,33,$109.00,$159.00,$199.00,$289.00,$149.00,$559.00
CycleBar Brookside,"314 W. 63rd St., Suite 314B, Kansas City, MO, 64113",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar West Kendall,"9075 SW 162nd Avenue, Suite 100, Miami, FL, 33196",Open,25,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Pinecrest,"13617 S Dixie Highway, Suite 122, Palmetto Bay, FL, 33176",Open,19,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar West Omaha,"17255 Davenport Street, Suite 135, Omaha, NE, 68118",Open,28,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar New Orleans Uptown,"3823 Magazine Street, New Orleans, LA, 70115",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Midtown Tulsa,"1515 E 15th Street, Tulsa, OK, 74120",Open,24,$59.00,$89.00,$99.00,$79.00,$149.00,$29.00
CycleBar South Tulsa,"9110 S Yale Avenue, Suite B, Tulsa, OK, 74137",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Lafayette,"4243 Ambassador Caffery Parkway, Suite 113, Lafayette, LA, 70508",Open,15,$59.00,$89.00,$99.00,$79.00,$149.00,$29.00
CycleBar Tyler,"5868 Old Jacksonville Hwy., Suite 200, Tyler, TX, 75703",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Chisholm Creek,"13220 Pawnee Drive, Suite B, Oklahoma City, OK, 73114",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Classen Curve,"5730 N Classen Boulevard, Suite 1 & 2, Oklahoma City, OK, 73118",Open,44,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Norman,"1942 24th Ave NW, Suite H-4, Norman, OK, 73069",Open,29,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar McKinney,"1871 N. Lakeforest Drive, Suite 100, McKinney, TX, 75071",Open,21,$59.00,$89.00,$99.00,$79.00,$149.00,$29.00
CycleBar Rockwall,"2071 Summer Lee Drive, Suite R103, Rockwall, TX, 75032",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Allen,"111 Whistlestop Way, Fairview, TX, 75069",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Frisco,"12005 Dallas Parkway, Suite 200, Frisco, TX, 75033",Open,20,$59.00,$89.00,$99.00,$79.00,$149.00,$29.00
CycleBar Preston Forest,"11700 Preston Road, Suite 625, Dallas, TX, 75230",Open,24,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Uptown Dallas,"2020 Cedar Springs, Suite 180, Dallas, TX, 75201",Open,33,$89.00,$139.00,$179.00,$249.00,$129.00,$79.00
CycleBar North Fort Worth,"9595 Sage Meadow Trail, Fort Worth, TX, 76177",Open,33,$79.00,$129.00,$169.00,$27.00,$0.00,$49.00
CycleBar Bismarck,"820 43rd Ave NE., Suite 112, Bismarck, ND, 58503",Open,18,$59.00,$109.00,$149.00,$189.00,$189.00,$99.00
CycleBar Waterside,"5924 Convair Drive, Suite 440, Fort Worth, TX, 76109",Open,29,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Sawyer Heights,"2102 Edwards Street, Suite A, Houston, TX, 77007",Open,25,$89.00,$119.00,$139.00,$249.00,$249.00,$129.00
CycleBar Houston Heights,"1533 N Shepherd Drive, Suite 210, Houston, TX, 77008",Open,24,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Pearland,"2701 Pearland Parkway, #150, Pearland, TX, 77581",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar West U,"3233 Southwest Freeway, Houston, TX, 77027",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Waco,"2324 Marketplace Drive, Suite 210, Waco, TX, 76711",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Sugar Land,"18802 University Blvd, Suite 113, Sugar Land, TX, 77479",Open,23,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Katy,"2717 Commercial Center Boulevard, Suite E190, Katy, TX, 77494",Open,25,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Cedar Park,"4701 183A Frontage Road, Suite E, Cedar Park, TX, 78613",Open,22,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar East Austin,"2400 E 6th St, Austin, TX, 78702",Open,23,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar West 5th,"507 Pressler Street, Suite 900, Austin, TX, 78703",Open,28,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Bee Cave,"3620 RR 620 South, Suite 210, Bee Cave, TX, 78738",Open,23,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Kyle,"19230 IH 35, Suite 100, Kyle, TX, 78640",Open,25,$79.00,$129.00,$169.00,$229.00,$229.00,$119.00
CycleBar New Braunfels,"2084 Central Plaza, New Braunfels, TX, 78130",Open,26,$59.00,$109.00,$149.00,$189.00,$99.00,$349.00
CycleBar Stone Oak,"19239 Stone Oak Pkwy, Suite 111, San Antonio, TX, 78258",Open,23,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Lubbock,"7604 Milwaukee Avenue, Suite 700, Lubbock, TX, 79424",Open,31,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Southlands,"6300 S Main Street, Suite N-103, Aurora, CO, 80016",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
