Name,Address,Status,Classes_This_Week
Club Pilates South Chapel Hill,"143 Chatham Downs Dr, Ste 304, Chapel Hill, NC, 27517",coming soon,N/A
Club Pilates Greensboro,"3349 Battleground Ave., Greensboro, NC, 27410",Open,70
Club Pilates High Point,"1589 Skeet Club Rd, Suite 151, High Point, NC, 27265",Open,58
Club Pilates Pickerington,"10710 Blacklick Eastern Road, Suite 200, Pickerington, OH, 43147",Open,47
Club Pilates Winston- Salem,"371 Lower Mall Dr., Winston-Salem, NC, 27103",Open,51
Club Pilates New Albany,"5780 N. Hamilton Rd., Unit G, Columbus, OH, 43230",Open,73
Club Pilates Tecumseh,"500 Manning Road, Tecumseh, ON, N8N5H3",Open,66
Club Pilates Polaris,"8924 Lyra Dr, Columbus, OH, 43240",Open,46
Club Pilates Grosse Pointe,"21312 Mack Avenue, Grosse Pointe Woods, MI, 48236",Open,60
Club Pilates Worthington,"71 W. Wilson Bridge Rd., Ste. 150, Worthington, OH, 43085",Open,70
Club Pilates Fayetteville,"2713 Freedom Parkway Dr., Suite 2, Fayetteville, NC, 28314",Open,60
Club Pilates LaSalle,"2055 Sandwich Parkway, LaSalle, ON, N9H2S4",coming soon,N/A
Club Pilates Grandview Yard,"1080 Yard St., Grandview Heights, OH, 43212",Open,71
Club Pilates Powell,"4024 Powell Rd., Powell, OH, 43065",Open,71
Club Pilates Shelby Township,"46841 Hayes Rd, Shelby Township, MI, 48315",Open,67
Club Pilates Hilliard,"3750 Fishinger Blvd, Hilliard, OH, 43026",Open,67
Club Pilates Pinehurst,"9735 US 15-501, Suite E, Pinehurst, NC, 28374",Open,55
Club Pilates NW Dublin,"7404 SR 161, Plain City, OH, 43064",Open,72
Club Pilates Troy,"67 E. Long Lake Rd., Troy, MI, 48085",Open,62
Club Pilates Rochester Hills,"131 S Livernois Rd, Rochester Hills, MI, 48307",Open,70
Club Pilates Porters Neck,"7964 Market Street, Suite 310, Wilmington, NC, 28441",coming soon,N/A
Club Pilates Beverly Hills,"31255 Southfield Road, Beverly Hills, MI, 48025",Open,77
Club Pilates Dearborn Heights,"26460 Ford Rd, Dearborn Heights, MI, 48127",Open,77
Club Pilates Wilmington,"1121-F Military Cutoff Rd., Wilmington, NC, 28405",Open,65
Club Pilates West Bloomfield,"4297 Orchard Lake Rd., West Bloomfield, MI, 48323",Open,64
Club Pilates Leland,"2028 Olde Regent Way, Suite 140, Leland, NC, 28451",Open,61
Club Pilates Wilmington South,"1407 Barclay Pointe Blvd, Ste. 403, Wilmington, NC, 28412",Open,69
Club Pilates Canton,"5846-B North Sheldon Rd, Canton, MI, 48187",Open,60
Club Pilates Perrysburg,"26597 N. Dixie Highway, Suite 167, Perrysburg, OH, 43551",Open,49
Club Pilates Clarkston,"7075 Dixie Hwy, Clarkston, MI, 48346",Open,67
Club Pilates Novi,"47484 Grand River Ave, Novi, MI, 48374",Open,78
Club Pilates Washtenaw,"3370 Washtenaw Ave., Ann Arbor, MI, 48104",Open,53
Club Pilates Mooresville,"146 Mooresville Commons Way, Unit 25, Mooresville, NC, 28117",Open,65
Club Pilates Ann Arbor,"2139 West Stadium Blvd, Ann Arbor, MI, 48103",Open,59
Club Pilates Grand Blanc,"12793 S Saginaw St, Suite 115, Grand Blanc, MI, 48439",coming soon,N/A
Club Pilates Brighton,"8023 W. Grand River Rd, Suite 200, Brighton, MI, 48114",coming soon,N/A
Club Pilates Harrisburg,"7298 Caldwell Rd,, Suite B, Harrisburg, NC, 28075",coming soon,N/A
Club Pilates Highland Creek,"10012 Benfield Rd, #303 and 304, Charlotte, NC, 28269",Open,75
Club Pilates Huntersville,"9525 Birkdale Crossing Dr., Ste. 102, Huntersville, NC, 28078",Open,71
Club Pilates Plaza Midwood,"1401 Central Avenue, Ste 1210, Charlotte, NC, 28205",coming soon,N/A
